tag;bias;section;eps;pmode;disc;p_peak;F_peak;F_vs_theorie_pct;F_vs_exp_pct;F_ampl;T_peak;T_vs_theorie_pct;T_vs_exp_pct;T_ampl
lin_fix_e08_corr_L3p16d10;paper_linear;fixed;0.80;corr;L3/p16/dt1.0;1.40;1692.17;-5.09;-7.26;201.57;583.35;-12.15;-33.48;701.39
lin_fix_e10_corr_L3p16d10;paper_linear;fixed;1.00;corr;L3/p16/dt1.0;1.39;2129.21;-12.27;-12.19;189.54;577.19;-26.85;-33.92;697.49
lin_upd_e08_corr_L3p16d10;paper_linear;updated;0.80;corr;L3/p16/dt1.0;1.40;1558.96;-12.57;-14.56;195.62;236.03;-64.45;-73.09;518.50
lin_upd_e10_corr_L3p16d10;paper_linear;updated;1.00;corr;L3/p16/dt1.0;1.39;1935.46;-20.25;-20.18;169.73;121.77;-84.57;-86.06;439.12
arc_fix_e08_corr_L3p16d10;uniform_twist;fixed;0.80;corr;L3/p16/dt1.0;1.40;1704.73;-4.39;-6.57;217.09;552.91;-16.73;-36.96;664.87
arc_fix_e10_corr_L3p16d10;uniform_twist;fixed;1.00;corr;L3/p16/dt1.0;1.39;2141.47;-11.76;-11.68;205.60;548.98;-30.42;-37.15;663.45
arc_upd_e08_corr_L3p16d10;uniform_twist;updated;0.80;corr;L3/p16/dt1.0;1.40;1579.64;-11.41;-13.43;226.51;271.01;-59.18;-69.10;514.71
arc_upd_e10_corr_L3p16d10;uniform_twist;updated;1.00;corr;L3/p16/dt1.0;1.39;1955.73;-19.42;-19.34;202.17;173.46;-78.02;-80.14;450.93
lin_fix_e08_rescale_L3p16d10;paper_linear;fixed;0.80;rescale;L3/p16/dt1.0;1.42;1694.93;-4.94;-7.11;204.78;592.91;-10.71;-32.39;712.54
lin_fix_e10_rescale_L3p16d10;paper_linear;fixed;1.00;rescale;L3/p16/dt1.0;1.42;2132.17;-12.15;-12.06;192.99;588.00;-25.48;-32.68;710.16
arc_fix_e08_rescale_L3p16d10;uniform_twist;fixed;0.80;rescale;L3/p16/dt1.0;1.42;1707.71;-4.22;-6.41;220.55;561.97;-15.37;-35.92;675.44
arc_fix_e10_rescale_L3p16d10;uniform_twist;fixed;1.00;rescale;L3/p16/dt1.0;1.42;2144.68;-11.63;-11.55;209.34;559.26;-29.12;-35.97;675.51
arc_upd_e08_rescale_L3p16d10;uniform_twist;updated;0.80;rescale;L3/p16/dt1.0;1.42;1582.01;-11.27;-13.30;230.45;277.23;-58.25;-68.39;523.63
arc_upd_e10_rescale_L3p16d10;uniform_twist;updated;1.00;rescale;L3/p16/dt1.0;1.42;1955.97;-19.41;-19.33;205.25;176.29;-77.66;-79.82;457.87
lin_fix_e08_raw_L3p16d10;paper_linear;fixed;0.80;raw;L3/p16/dt1.0;1.30;1674.47;-6.09;-8.23;177.38;521.43;-21.47;-40.54;617.18
lin_fix_e10_raw_L3p16d10;paper_linear;fixed;1.00;raw;L3/p16/dt1.0;1.33;2115.81;-12.82;-12.74;170.35;527.48;-33.15;-39.61;626.86
arc_fix_e10_rescale_L6p16d10;uniform_twist;fixed;1.00;rescale;L6/p16/dt1.0;1.42;2157.31;-11.11;-11.03;211.08;562.84;-28.66;-35.56;680.50
arc_fix_e10_rescale_L10p16d10;uniform_twist;fixed;1.00;rescale;L10/p16/dt1.0;1.42;2160.02;-11.00;-10.91;211.46;563.61;-28.57;-35.47;681.58
arc_fix_e10_rescale_L3p32d10;uniform_twist;fixed;1.00;rescale;L3/p32/dt1.0;1.42;2144.68;-11.63;-11.55;209.34;559.26;-29.12;-35.97;675.51
arc_fix_e10_rescale_L3p16d05;uniform_twist;fixed;1.00;rescale;L3/p16/dt0.5;1.42;2144.68;-11.63;-11.55;209.34;559.26;-29.12;-35.97;675.51
arc_fix_e10_rescale_L6p32d05;uniform_twist;fixed;1.00;rescale;L6/p32/dt0.5;1.42;2157.31;-11.11;-11.03;211.08;562.84;-28.66;-35.56;680.50
uf_e10_rs_dtfin;uniform_twist;fixed;1.00;rescale;L3/p16/dt0.5;1.42;2142.96;-11.70;-11.62;208.17;553.72;-29.82;-36.60;671.69
uf_e08_rs_L6;uniform_twist;fixed;0.80;rescale;L6/p16/dt1.0;1.42;1718.02;-3.64;-5.84;222.39;565.65;-14.81;-35.50;680.51
au_e08_rs_L6;uniform_twist;updated;0.80;rescale;L6/p16/dt1.0;1.42;1590.92;-10.77;-12.81;232.76;279.94;-57.84;-68.08;528.71
lf_e08_rs_L6;paper_linear;fixed;0.80;rescale;L6/p16/dt1.0;1.42;1705.44;-4.35;-6.53;206.80;595.88;-10.26;-32.06;716.81
lf_e10_rs_L6;paper_linear;fixed;1.00;rescale;L6/p16/dt1.0;1.42;2145.01;-11.62;-11.53;194.92;590.91;-25.11;-32.34;714.38
